,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date,Any Interpolated
1325,2021.0,12.0,2.0,22.0,35.0,230.0,1.5,21.0,16.0,8.7,2021-12-02 22:35:00,Original Data
1324,2021.0,12.0,2.0,22.0,55.0,230.0,0.0,21.0,16.0,8.7,2021-12-02 22:55:00,Interpolated Data
1323,2021.0,12.0,2.0,23.0,35.0,230.0,0.0,21.0,16.0,8.7,2021-12-02 23:35:00,Interpolated Data
1322,2021.0,12.0,2.0,23.0,55.0,230.0,0.0,21.0,16.0,8.7,2021-12-02 23:55:00,Interpolated Data
1321,2021.0,12.0,3.0,0.0,15.0,230.0,0.0,21.0,16.0,8.7,2021-12-03 00:15:00,Interpolated Data
1320,2021.0,12.0,3.0,0.0,35.0,230.0,0.0,21.0,16.0,8.7,2021-12-03 00:35:00,Interpolated Data
1319,2021.0,12.0,3.0,0.0,50.0,230.0,0.0,21.0,16.0,8.7,2021-12-03 00:50:00,Interpolated Data
1318,2021.0,12.0,3.0,1.0,15.0,230.0,0.0,21.0,16.0,8.7,2021-12-03 01:15:00,Interpolated Data
1317,2021.0,12.0,3.0,1.0,35.0,230.0,0.0,21.0,16.0,8.7,2021-12-03 01:35:00,Interpolated Data
1316,2021.0,12.0,3.0,1.0,55.0,230.0,0.0,20.0,16.0,8.7,2021-12-03 01:55:00,Interpolated Data
1315,2021.0,12.0,3.0,2.0,15.0,230.0,0.0,20.0,16.0,8.7,2021-12-03 02:15:00,Interpolated Data
1314,2021.0,12.0,3.0,2.0,35.0,230.0,0.0,20.0,16.0,8.7,2021-12-03 02:35:00,Interpolated Data
1313,2021.0,12.0,3.0,2.0,55.0,230.0,2.6,20.0,16.0,8.7,2021-12-03 02:55:00,Interpolated Data
1312,2021.0,12.0,3.0,3.0,15.0,230.0,3.6,20.0,16.0,8.7,2021-12-03 03:15:00,Interpolated Data
1311,2021.0,12.0,3.0,3.0,35.0,1360.0,2.1,20.0,16.0,8.7,2021-12-03 03:35:00,Original Data
1310,2021.0,12.0,3.0,3.0,55.0,1130.0,0.0,20.0,16.0,8.7,2021-12-03 03:55:00,Interpolated Data
1309,2021.0,12.0,3.0,4.0,15.0,900.0,0.0,20.0,16.0,8.7,2021-12-03 04:15:00,Interpolated Data
1308,2021.0,12.0,3.0,4.0,35.0,670.0,2.6,21.0,16.0,8.7,2021-12-03 04:35:00,Interpolated Data
1307,2021.0,12.0,3.0,4.0,55.0,440.0,0.0,21.0,16.0,8.7,2021-12-03 04:55:00,Interpolated Data
1306,2021.0,12.0,3.0,5.0,15.0,210.0,2.6,21.0,16.0,8.7,2021-12-03 05:15:00,Interpolated Data
1305,2021.0,12.0,3.0,5.0,35.0,210.0,2.6,21.0,16.0,8.7,2021-12-03 05:35:00,Original Data
1304,2021.0,12.0,3.0,5.0,55.0,220.0,2.6,21.0,16.0,8.7,2021-12-03 05:55:00,Original Data
1303,2021.0,12.0,3.0,6.0,15.0,200.0,2.1,21.0,16.0,8.7,2021-12-03 06:15:00,Original Data
1302,2021.0,12.0,3.0,6.0,35.0,200.0,3.1,21.0,17.0,8.7,2021-12-03 06:35:00,Original Data
1301,2021.0,12.0,3.0,6.0,55.0,200.0,3.1,21.0,16.0,8.7,2021-12-03 06:55:00,Original Data
1300,2021.0,12.0,3.0,7.0,15.0,180.0,2.6,21.0,17.0,8.7,2021-12-03 07:15:00,Original Data
1299,2021.0,12.0,3.0,7.0,35.0,200.0,3.1,21.0,17.0,8.7,2021-12-03 07:35:00,Original Data
1298,2021.0,12.0,3.0,7.0,40.0,200.0,2.6,21.0,16.0,8.7,2021-12-03 07:40:00,Original Data
1297,2021.0,12.0,3.0,20.0,15.0,90.0,2.1,21.0,17.0,8.7,2021-12-03 20:15:00,Original Data
1296,2021.0,12.0,3.0,20.0,35.0,80.0,2.1,21.0,17.0,8.7,2021-12-03 20:35:00,Original Data
